CCCC(O)(C)C	1.96e+02	58.74	64.79339599609375
CCC(CO)(C)C	4.39e+02	35.59	39.5968017578125
CC(C(C(C)(C)C)C)O	3.25e+02	56.16	50.210418701171875
CC(C(C(C)(C)C)C)O	3.46e+02	53.3	47.93778991699219
CNCC	2.27e+02	33.58	29.634300231933594
CNCC	2.49e+02	31.7	28.238380432128906
CNCCN(C)C	5.10e+02	29.75	33.044273376464844
NCCNCCNCCN	5.74e+02	57.69	63.898250579833984
CCCC	1.60e+02	27.2	30.492961883544922
CC(C)C	1.38e+02	27.41	30.7335205078125
CC(C)C	3.26e+02	18.63	16.64862060546875
COCC	1.85e+02	29.43	32.43925857543945
COCC	2.09e+02	28.08	31.025489807128906
COCC	2.32e+02	26.87	29.71569061279297
COCC	2.56e+02	25.62	28.33626937866211
COCC	2.79e+02	24.42	27.03945541381836
COCC	3.03e+02	23.17	25.535263061523438
COCOC	1.93e+02	37.31	41.68162155151367
COCOC	2.20e+02	35.25	39.38301086425781
COCOC	2.48e+02	33.59	37.37223815917969
COCOC	2.75e+02	32.0	35.61054992675781
COCOC	3.03e+02	30.46	33.521026611328125
O1CCOCC1	3.10e+02	33.45	37.177574157714844
O1CCOCC1	3.33e+02	32.28	35.69511413574219
O1CCOCC1	3.56e+02	30.98	34.31907272338867
O1CCOCC1	3.79e+02	29.72	32.80988693237305
O1CCOCC1	4.47e+02	25.78	28.604957580566406
O1CCOCC1	4.70e+02	24.12	28.200489044189453
C1CCOCO1	4.72e+02	23.92	26.907489776611328
COC(OC)(C)C	4.31e+02	27.45	24.608718872070312
CC1COCC(O1)C	4.96e+02	24.51	29.051738739013672
CCOC(OCC)OCC	4.91e+02	29.45	33.1754264831543
CCOC(OCC)(OCC)OCC	4.74e+02	34.51	39.15475845336914
CCOC(OCC)(OCC)OCC	5.07e+02	30.36	36.73122024536133
CCCOC(OCCC)(OCCC)OCCC	5.72e+02	35.22	40.028099060058594
CCC=O	3.44e+02	28.13	31.21657943725586
O=COC(C)(C)C	3.65e+02	34.59	30.879981994628906
O=COC(C)(C)C	3.98e+02	32.52	29.036808013916016
O=COCCC(C)C	4.62e+02	35.28	31.735214233398438
CC(=O)OCCOC(=O)C	4.22e+02	44.41	49.250511169433594
CC(=O)OCCOC(=O)C	4.61e+02	41.64	46.276065826416016
CC(=O)OCCOC(=O)C	5.00e+02	38.28	43.18174743652344
CC(=O)OCCOC(=O)C	5.39e+02	35.01	40.27254867553711
CC(OC(=O)C)OC(=O)C	3.17e+02	63.49	56.24089050292969
CC(OC(=O)C)OC(=O)C	3.46e+02	60.89	53.975101470947266
CC(OC(=O)C)OC(=O)C	3.74e+02	58.25	51.49066162109375
CC(OC(=O)C)OC(=O)C	4.03e+02	55.81	48.884132385253906
CC(OC(=O)C)OC(=O)C	4.31e+02	53.22	46.56165313720703
CC(OC(=O)C)OC(=O)C	4.60e+02	50.42	44.17573547363281
CC(OC(=O)C)OC(=O)C	4.88e+02	47.99	41.867042541503906
CC(OC(=O)C)OC(=O)C	5.17e+02	45.45	39.63556671142578
CCC(=O)OCCOC(=O)CC	5.59e+02	37.64	42.74369812011719
CC1CC(C1)C	4.11e+02	22.01	24.726329803466797
C=CC=C	1.89e+02	27.21	30.771888732910156
C=CC=C	2.11e+02	26.03	29.06731414794922
C=CC=C	2.32e+02	24.91	27.575958251953125
C=CC=C	2.54e+02	23.78	26.220905303955078
C=CC=C	2.75e+02	22.76	25.192153930664062
C/C=C/C	3.43e+02	19.09	21.087940216064453
CCC(=C)C	1.60e+02	33.28	37.14821243286133
CCC(=C)C	3.42e+02	24.13	26.932910919189453
C=CC(C)C	1.30e+02	34.22	38.013771057128906
C=CC(C)C	1.63e+02	32.1	35.336143493652344
C=CC(C)C	3.29e+02	23.35	26.709762573242188
CC1=CCCCC1	4.73e+02	27.83	30.922809600830078
CCC(C=C)(C)C	4.22e+02	24.71	27.39563751220703
C1CC=CC=CC=C1	2.15e+02	50.18	55.23003387451172
CC(=O)C=C	4.15e+02	30.95	27.634052276611328
CC(=O)C=C	4.44e+02	29.25	25.853595733642578
C=CCOC=O	2.13e+02	40.84	47.829139709472656
C=CCOC=O	2.43e+02	38.84	45.100074768066406
C=CCOC=O	2.73e+02	36.86	42.34958267211914
C=CCOC=O	3.03e+02	35.14	39.54308319091797
C=CCOC=O	3.34e+02	33.27	36.64449691772461
O=C1C=CC(=O)C(=C1)C	3.67e+02	51.97	60.7075080871582
O=C1C=CC(=O)C(=C1)C	3.98e+02	50.43	58.22600555419922
O=C1C=CC(=O)C(=C1)C	4.28e+02	48.88	55.85102844238281
O=C1C=CC(=O)C(=C1)C	4.59e+02	47.26	53.58483123779297
O=C1C=CC(=O)C(=C1)C	4.90e+02	45.7	51.71284103393555
O=C1C=CC(=O)C(=C1)C	5.21e+02	44.12	49.519920349121094
O=C1C=CC(=O)C(=C1)C	5.51e+02	42.57	47.655433654785156
O=C1C=CC(=O)C(=C1)C	5.82e+02	40.76	46.40883255004883
O=C1C=C(C)C(=O)C(=C1)C	3.71e+02	56.68	62.58191680908203
CCOC1CCCCC1=O	5.29e+02	35.5	39.788848876953125
C1COC(OC1)c1ccccc1	6.00e+02	39.65	44.048892974853516
O1CCC(OC1)c1ccccc1	5.95e+02	38.64	42.897125244140625
COC(c1ccccc1)(OC)OC	5.91e+02	38.26	42.794456481933594
O=C(C(=C)C)OCCOC(=O)C(=C)C	6.00e+02	41.28	45.8997802734375
CN1CCOCC1	2.34e+02	41.35	45.7170524597168
CN1CCOCC1	2.67e+02	39.42	43.47675323486328
OCCOC(=O)C=C	2.38e+02	65.02	73.2530288696289
OCCOC(=O)C=C	4.47e+02	48.4	53.45790100097656
OCCOC(=O)C=C	4.88e+02	44.98	49.93216323852539
OCCOC(=O)C=C	5.30e+02	41.48	45.977760314941406
CC(COC(=O)C=C)O	2.84e+02	56.68	63.313621520996094
NCC(OCC)OCC	5.11e+02	32.79	36.43045425415039
CCN1CCCC(C1)O	2.84e+02	63.05	69.96942138671875
CCN1CCCC(C1)O	3.19e+02	58.37	65.34474182128906
CC(=O)OCCOCCO	5.14e+02	54.14	48.37677001953125
CC(COC(=O)C(=C)C)O	2.94e+02	57.97	66.70072937011719
CC(COC(=O)C(=C)C)O	3.28e+02	55.68	63.03962707519531
CC(COC(=O)C(=C)C)O	3.61e+02	52.51	59.53899002075195
CC(COC(=O)C(=C)C)O	3.95e+02	50.3	55.95123291015625
CC(COC(=O)C(=C)C)O	4.29e+02	47.07	52.11141586303711
CC(COC(=O)[C@H](O)C)C	4.95e+02	52.06	46.5911865234375
OC(CN(C)C)CN(C)C	2.82e+02	60.79	67.55599975585938
OC(CN(C)C)CN(C)C	3.17e+02	57.13	63.24440002441406
OC(CN(C)C)CN(C)C	3.52e+02	53.61	58.977256774902344
C/C=C\C=O	4.02e+02	29.75	33.541419982910156
O=C(C(C)(C)C)C(=O)C(C)(C)C	2.95e+02	55.52	62.935359954833984
O=C(C(C)(C)C)C(=O)C(C)(C)C	3.29e+02	52.51	59.67433166503906
O=C(C(C)(C)C)C(=O)C(C)(C)C	3.62e+02	49.74	56.644344329833984
O=C(C(C)(C)C)C(=O)C(C)(C)C	3.96e+02	46.89	53.72397232055664
O=C(C(C)(C)C)C(=O)C(C)(C)C	4.30e+02	44.06	50.77858352661133
O=C(C(C)(C)C)C(=O)C(C)(C)C	4.64e+02	41.76	47.82562255859375
O=C(C(C)(C)C)C(=O)C(C)(C)C	4.97e+02	39.06	44.800289154052734
CCC#C	3.12e+02	23.9	26.348724365234375
CC(C#C)C	3.41e+02	26.26	29.44680404663086
CC(C#C)C	3.66e+02	25.03	27.715373992919922
